Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
1,"[0.2866014151548447, 0.6343279794783181, 0.3574819006499761, 0.07208562523959539, 0.12331148712787532, 0.5773617040690808, 0.08190831928164222, 0.17105832077665883, 0.176193683525519, 0.0496744752056395]",9240,(),86.65822532669732,16.669844587765045
2,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8809939082274983, 0.2703487548504817, 0.04315640014141331, 0.8572700522541726, 0.163041996379359, 0.8013607892159351]",9332,"(37.14126449829597,)",69.85722245447633,15.443593122061957
3,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8809939082274983, 0.2703487548504817, 0.04315640014141331, 0.8572700522541726, 0.163041996379359, 0.8013607892159351]",9411,"(37.14126449829597,)",56.37385004856473,13.295499597965607
4,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8860821422197491, 0.9130672857764688, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9503,"(19.644394578782915,)",45.93331119820786,12.45052603622837
5,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8860821422197491, 0.9130672857764688, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9595,"(19.644394578782915,)",33.018818812377916,7.946442397335355
6,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8809939082274983, 0.06180921613974022, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9683,"(18.308793364350787,)",25.050425287625167,5.110741439313308
7,"[0.9744875958661318, 0.902533679173206, 0.9488332122044711, 0.01803288928939517, 0.8809939082274983, 0.017005676464538988, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9777,"(17.61761025282649,)",21.024146866490078,3.177041751724019
8,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.8809939082274983, 0.9130672857764688, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9861,"(16.023646481265327,)",18.887220174428464,2.8320162985518134
9,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.9130672857764688, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.836774762085144]",9957,"(14.499468352143534,)",17.558556526224503,2.224294528120103
10,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.8889023128090676]",10045,"(10.574297243041663,)",15.862370294483208,3.299653460303303
11,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.8889023128090676]",10135,"(10.574297243041663,)",13.014804492348132,2.7328027412457847
12,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.9234282286776474]",10231,"(9.433059581368314,)",11.216745404467012,1.2973101880392177
13,"[0.9744875958661318, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.9259765553208381, 0.06180921613974022, 0.003508362768281259, 0.10994812982224211, 0.0754410416078064, 0.9234282286776474]",10325,"(9.433059581368314,)",10.498257300925436,2.416260287773767
