Generations,Variaveis de Decisão,Evaluations,Best Fitness,Media,Desvio Padrao
1,"[0.7650243225317116, 0.2971988495052531, 0.7540094003908433, 0.0011912060241561218, 0.6925264805773559, 0.5033032656296469, 0.21244009713114242, 0.48272247577961724, 0.4060688335213004, 0.4810544969174453]",195,(),101.14793585424377,23.316259049716024
2,"[0.845077302226754, 0.9398676645806066, 0.09883975321138283, 0.06504590159934676, 0.020607105828315486, 0.12092407716926068, 0.3208005992245264, 0.992819427299164, 0.8112328110427816, 0.8962567955411088]",284,"(37.392238340157576,)",82.56798617659669,20.762450442924283
3,"[0.845077302226754, 0.9398676645806066, 0.09883975321138283, 0.06504590159934676, 0.020607105828315486, 0.14648188454950373, 0.9706692418290509, 0.992819427299164, 0.8112328110427816, 0.8962567955411088]",378,"(25.299021804100168,)",64.62493391245447,19.128843658540973
4,"[0.09473137758115746, 0.04231657446186421, 0.04263569434385284, 0.967996395616286, 0.7348240888661617, 0.8477195085512077, 0.017270697641851185, 0.968383967840523, 0.059377580593034884, 0.9992570191767566]",472,"(22.911838132061106,)",49.75176070231656,15.346119110068143
5,"[0.09473137758115746, 0.15277387205182236, 0.06499336618451679, 0.027059979118792654, 0.10777785606603463, 0.14648188454950373, 0.9706692418290509, 0.027274403524413127, 0.059377580593034884, 0.9992570191767566]",558,"(16.120781086828487,)",37.66806269941468,11.604425653219321
6,"[0.09473137758115746, 0.04231657446186421, 0.04263569434385284, 0.027059979118792654, 0.10777785606603463, 0.14648188454950373, 0.9706692418290509, 0.027274403524413127, 0.059377580593034884, 0.9992570191767566]",651,"(11.718572936296693,)",28.27282901090829,7.543406065317239
7,"[0.09473137758115746, 0.04231657446186421, 0.04263569434385284, 0.027059979118792654, 0.10777785606603463, 0.14648188454950373, 0.9706692418290509, 0.027274403524413127, 0.059377580593034884, 0.9992570191767566]",745,"(11.718572936296693,)",22.10738865488127,6.134152445297312
8,"[0.9920953811230488, 0.04231657446186421, 0.9456225164980946, 0.9701861253994317, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, 0.01821713763895716]",839,"(6.994250305687558,)",17.530922893546364,4.6127931769281005
9,"[0.9920953811230488, 0.04231657446186421, 0.9456225164980946, 0.9701861253994317, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, 0.01821713763895716]",929,"(6.994250305687558,)",13.89205069402283,4.9084126071258725
10,"[0.9920953811230488, 0.04231657446186421, 0.9456225164980946, 0.9701861253994317, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, 0.01821713763895716]",1015,"(6.994250305687558,)",11.281555154092922,2.472532131232672
11,"[0.9917757412280777, 0.04231657446186421, 0.9456225164980946, 0.9701861253994317, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, -0.010592179329568296]",1106,"(6.951115944906725,)",9.487010643018902,2.199176118064094
12,"[0.9920953811230488, 0.04231657446186421, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9706692418290509, 0.027274403524413127, 0.059377580593034884, 0.9992570191767566]",1195,"(6.426119113705182,)",8.826437241251618,3.7848725055039765
13,"[0.9920953811230488, 0.04231657446186421, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, 0.01821713763895716]",1283,"(5.377265024861529,)",8.70253134193344,7.534282277639628
14,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.059377580593034884, 0.01821713763895716]",1375,"(5.024529080125575,)",7.058799867533009,2.4297448547016836
15,"[0.9920953811230488, 0.04231657446186421, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",1459,"(4.79275350363938,)",6.599218349815851,2.6936293769132997
16,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",1551,"(4.440017558903426,)",5.70495200085486,1.2298312685396189
17,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, 0.9752260766092673, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",1643,"(4.440017558903426,)",5.662194680644446,3.583956272198506
18,"[0.9917757412280777, 0.04231657446186421, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",1735,"(3.8940143905548563,)",5.336326623575536,4.168483939934193
19,"[0.9920953811230488, 0.04231657446186421, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",1825,"(3.850113866371876,)",5.1055715830164345,4.6495941914206975
20,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9706692418290509, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",1917,"(3.656893621804434,)",4.831898421317026,4.285422877559517
21,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, 0.01821713763895716]",2004,"(3.5408953641178282,)",4.43984465812824,3.8221940503209675
22,"[0.9920953811230488, 0.0014990970093354816, 0.06499336618451679, 0.027059979118792654, 0.020607105828315486, -0.029559113216439892, 0.9932534607775431, 0.027274403524413127, 0.02323587854443898, -0.010592179329568296]",2087,"(3.4973779216359215,)",4.003347726202363,1.7279940791530213
